Model ID	Model Family Name	Description
PF11059.11	DUF2860	Protein of unknown function (DUF2860)
PF11060.11	DUF2861	Protein of unknown function (DUF2861)
PF11061.11	DUF2862	Protein of unknown function (DUF2862)
PF11062.11	DUF2863	Protein of unknown function (DUF2863)
PF11064.11	DUF2865	Protein of unknown function (DUF2865)
PF11065.11	DUF2866	Protein of unknown function (DUF2866)
PF11066.11	DUF2867	Protein of unknown function (DUF2867)
PF11067.11	DUF2868	Protein of unknown function (DUF2868)
PF11070.11	DUF2871	Protein of unknown function (DUF2871)
PF11072.11	DUF2859	Protein of unknown function (DUF2859)
PF11074.11	DUF2779	Domain of unknown function(DUF2779)
PF11075.11	DUF2780	Protein of unknown function VcgC/VcgE (DUF2780)
PF11077.11	DUF2616	Protein of unknown function (DUF2616)
PF11082.11	DUF2880	Protein of unknown function (DUF2880)
PF11084.11	DUF2621	Protein of unknown function (DUF2621)
PF11086.11	DUF2878	Protein of unknown function (DUF2878)
PF11097.11	DUF2883	Protein of unknown function (DUF2883)
PF11101.11	DUF2884	Protein of unknown function (DUF2884)
PF11103.11	DUF2887	Protein of unknown function (DUF2887)
PF11115.11	DUF2623	Protein of unknown function (DUF2623)
PF11116.11	DUF2624	Protein of unknown function (DUF2624)
PF11117.11	DUF2626	Protein of unknown function (DUF2626)
PF11118.11	DUF2627	Protein of unknown function (DUF2627)
PF11119.11	DUF2633	Protein of unknown function (DUF2633)
PF11121.11	DUF2639	Protein of unknown function (DUF2639)
PF11127.11	DUF2892	Protein of unknown function (DUF2892)
PF11135.11	DUF2888	Protein of unknown function (DUF2888)
PF11136.11	DUF2889	Protein of unknown function (DUF2889)
PF11137.11	DUF2909	Protein of unknown function (DUF2909)
PF11138.11	DUF2911	Protein of unknown function (DUF2911)
PF11140.11	DUF2913	Protein of unknown function (DUF2913)
PF11141.11	DUF2914	Protein of unknown function (DUF2914)
PF11142.11	DUF2917	Protein of unknown function (DUF2917)
PF11143.11	DUF2919	Protein of unknown function (DUF2919)
PF11144.11	DUF2920	Protein of unknown function (DUF2920)
PF11145.11	DUF2921	Protein of unknown function (DUF2921)
PF11146.11	DUF2905	Protein of unknown function (DUF2905)
PF11148.11	DUF2922	Protein of unknown function (DUF2922)
PF11149.11	DUF2924	Protein of unknown function (DUF2924)
PF11150.11	DUF2927	Protein of unknown function (DUF2927)
PF11151.11	DUF2929	Protein of unknown function (DUF2929)
PF11153.11	DUF2931	Protein of unknown function (DUF2931)
PF11154.11	DUF2934	Protein of unknown function (DUF2934)
PF11155.11	DUF2935	Domain of unknown function (DUF2935)
PF11157.11	DUF2937	Protein of unknown function (DUF2937)
PF11158.11	DUF2938	Protein of unknown function (DUF2938)
PF11159.11	DUF2939	Protein of unknown function (DUF2939)
PF11161.11	DUF2944	Protein of unknown function (DUF2946)
PF11162.11	DUF2946	Protein of unknown function (DUF2946)
PF11163.11	DUF2947	Protein of unknown function (DUF2947)
PF11164.11	DUF2948	Protein of unknown function (DUF2948)
PF11165.11	DUF2949	Protein of unknown function (DUF2949)
PF11166.11	DUF2951	Protein of unknown function (DUF2951)
PF11167.11	DUF2953	Protein of unknown function (DUF2953)
PF11168.11	DUF2955	Protein of unknown function (DUF2955)
PF11169.11	DUF2956	Protein of unknown function (DUF2956)
PF11170.11	DUF2957	Protein of unknown function (DUF2957)
PF11171.11	DUF2958	Protein of unknown function (DUF2958)
PF11172.11	DUF2959	Protein of unknown function (DUF2959)
PF11173.11	DUF2960	Protein of unknown function (DUF2960)
PF11174.11	DUF2970	Protein of unknown function (DUF2970)
PF11175.11	DUF2961	Protein of unknown function (DUF2961)
PF11177.11	DUF2964	Protein of unknown function (DUF2964)
PF11178.11	DUF2963	Protein of unknown function (DUF2963)
PF11179.11	DUF2967	Protein of unknown function (DUF2967)
PF11180.11	DUF2968	Protein of unknown function (DUF2968)
PF11184.11	DUF2969	Protein of unknown function (DUF2969)
PF11185.11	DUF2971	Protein of unknown function (DUF2971)
PF11186.11	DUF2972	Protein of unknown function (DUF2972)
PF11188.11	DUF2975	Protein of unknown function (DUF2975)
PF11189.11	DUF2973	Protein of unknown function (DUF2973)
PF11190.11	DUF2976	Protein of unknown function (DUF2976)
PF11191.11	DUF2782	Protein of unknown function (DUF2782)
PF11192.11	DUF2977	Protein of unknown function (DUF2977)
PF11193.11	DUF2812	Protein of unknown function (DUF2812)
PF11195.11	DUF2829	Protein of unknown function (DUF2829)
PF11196.11	DUF2834	Protein of unknown function DUF2834
PF11197.11	DUF2835	Protein of unknown function (DUF2835)
PF11198.11	DUF2857	Protein of unknown function (DUF2857)
PF11199.11	DUF2891	Protein of unknown function (DUF2891)
PF11200.11	DUF2981	Protein of unknown function (DUF2981)
PF11201.11	DUF2982	Protein of unknown function (DUF2982)
PF11204.11	DUF2985	Protein of unknown function (DUF2985)
PF11205.11	DUF2987	Protein of unknown function (DUF2987)
PF11207.11	DUF2989	Protein of unknown function (DUF2989)
PF11208.11	DUF2992	Protein of unknown function (DUF2992)
PF11210.11	DUF2996	Protein of unknown function (DUF2996)
PF11211.11	DUF2997	Protein of unknown function (DUF2997)
PF11212.11	DUF2999	Protein of unknown function (DUF2999)
PF11213.11	DUF3006	Protein of unknown function (DUF3006)
PF11215.11	DUF3010	Protein of unknown function (DUF3010)
PF11216.11	DUF3012	Protein of unknown function (DUF3012)
PF11217.11	DUF3013	Protein of unknown function (DUF3013)
PF11218.11	DUF3011	Protein of unknown function (DUF3011)
PF11219.11	DUF3014	Protein of unknown function (DUF3014)
PF11220.11	DUF3015	Protein of unknown function (DUF3015)
PF11222.11	DUF3017	Protein of unknown function (DUF3017)
PF11223.11	DUF3020	SPP41, DUF3020
PF11224.11	DUF3023	Protein of unknown function (DUF3023)
PF11225.11	DUF3024	Protein of unknown function (DUF3024)
PF11226.11	DUF3022	Protein of unknown function (DUF3022)
PF11227.11	DUF3025	Protein of unknown function (DUF3025)
PF11228.11	DUF3027	Protein of unknown function (DUF3027)
PF11230.11	DUF3029	Protein of unknown function (DUF3029)
PF11231.11	DUF3034	Protein of unknown function (DUF3034)
PF11233.11	DUF3035	Protein of unknown function (DUF3035)
PF11236.11	DUF3037	Protein of unknown function (DUF3037)
PF11237.11	DUF3038	Protein of unknown function (DUF3038)
PF11238.11	DUF3039	Protein of unknown function (DUF3039)
PF11239.11	DUF3040	Protein of unknown function (DUF3040)
PF11240.11	DUF3042	Protein of unknown function (DUF3042)
PF11241.11	DUF3043	Protein of unknown function (DUF3043)
PF11242.11	DUF2774	Protein of unknown function (DUF2774)
PF11243.11	DUF3045	Protein of unknown function (DUF3045)
PF11245.11	DUF2544	Protein of unknown function (DUF2544)
PF11248.11	DUF3046	Protein of unknown function (DUF3046)
PF11249.11	DUF3047	Protein of unknown function (DUF3047)
PF11251.11	DUF3050	Protein of unknown function (DUF3050)
PF11252.11	DUF3051	Protein of unknown function (DUF3051)
PF11253.11	DUF3052	Protein of unknown function (DUF3052)
PF11254.11	DUF3053	Protein of unknown function (DUF3053)
PF11255.11	DUF3054	Protein of unknown function (DUF3054)
PF11256.11	DUF3055	Protein of unknown function (DUF3055)
PF11258.11	DUF3048	Protein of unknown function (DUF3048) N-terminal domain
PF11259.11	DUF3060	Protein of unknown function (DUF3060)
PF11267.11	DUF3067	Domain of unknown function (DUF3067)
PF11268.11	DUF3071	Protein of unknown function (DUF3071)
PF11269.11	DUF3069	Protein of unknown function (DUF3069)
PF11272.11	DUF3072	Protein of unknown function (DUF3072)
PF11273.11	DUF3073	Protein of unknown function (DUF3073)
PF11274.11	DUF3074	Protein of unknown function (DUF3074)
PF11275.11	DUF3077	Protein of unknown function (DUF3077)
PF11276.11	DUF3078	Protein of unknown function (DUF3078)
PF11278.11	DUF3079	Protein of unknown function (DUF3079)
PF11279.11	DUF3080	Protein of unknown function (DUF3080)
PF11280.11	DUF3081	Protein of unknown function (DUF3081)
PF11281.11	DUF3083	Protein of unknown function (DUF3083)
PF11282.11	DUF3082	Protein of unknown function (DUF3082)
PF11283.11	DUF3084	Protein of unknown function (DUF3084)
PF11284.11	DUF3085	Protein of unknown function (DUF3085)
PF11285.11	DUF3086	Protein of unknown function (DUF3086)
PF11286.11	DUF3087	Protein of unknown function (DUF3087)
PF11287.11	DUF3088	Protein of unknown function (DUF3088)
PF11288.11	DUF3089	Protein of unknown function (DUF3089)
PF11290.11	DUF3090	Protein of unknown function (DUF3090)
PF11291.11	DUF3091	Protein of unknown function (DUF3091)
PF11292.11	DUF3093	Protein of unknown function (DUF3093)
PF11293.11	DUF3094	Protein of unknown function (DUF3094)
PF11294.11	DUF3095	Protein of unknown function (DUF3095)
PF11295.11	DUF3096	Protein of unknown function (DUF3096)
PF11296.11	DUF3097	Protein of unknown function (DUF3097)
PF11297.11	DUF3098	Protein of unknown function (DUF3098)
PF11298.11	DUF3099	Protein of unknown function (DUF3099)
PF11299.11	DUF3100	Protein of unknown function (DUF3100)
PF11300.11	DUF3102	Protein of unknown function (DUF3102)
PF11301.11	DUF3103	Protein of unknown function (DUF3103)
PF11302.11	DUF3104	Protein of unknown function (DUF3104)
PF11303.11	DUF3105	Protein of unknown function (DUF3105)
PF11304.11	DUF3106	Protein of unknown function (DUF3106)
PF11305.11	DUF3107	Protein of unknown function (DUF3107)
PF11306.11	DUF3108	Protein of unknown function (DUF3108)
