Model ID	Model Family Name	Description
PF13829.9	DUF4191	Domain of unknown function (DUF4191)
PF13830.9	DUF4192	Domain of unknown function (DUF4192)
PF13834.9	DUF4193	Domain of unknown function (DUF4193)
PF13835.9	DUF4194	Domain of unknown function (DUF4194)
PF13836.9	DUF4195	Domain of unknown function (DUF4195)
PF13846.9	DUF4196	Domain of unknown function (DUF4196)
PF13852.9	DUF4197	Protein of unknown function (DUF4197)
PF13858.9	DUF4199	Protein of unknown function (DUF4199)
PF13863.9	DUF4200	Domain of unknown function (DUF4200)
PF13870.9	DUF4201	Domain of unknown function (DUF4201)
PF13875.9	DUF4202	Domain of unknown function (DUF4202)
PF13886.9	DUF4203	Domain of unknown function (DUF4203)
PF13907.9	DUF4208	Domain of unknown function (DUF4208)
PF13910.9	DUF4209	Domain of unknown function (DUF4209)
PF13915.9	DUF4210	Domain of unknown function (DUF4210)
PF13926.9	DUF4211	Domain of unknown function (DUF4211)
PF13937.9	DUF4212	Domain of unknown function (DUF4212)
PF13938.9	DUF4213	Putative heavy-metal chelation
PF13946.9	DUF4214	Domain of unknown function (DUF4214)
PF13948.9	DUF4215	Domain of unknown function (DUF4215)
PF13952.9	DUF4216	Domain of unknown function (DUF4216)
PF13959.9	DUF4217	Domain of unknown function (DUF4217)
PF13960.9	DUF4218	Domain of unknown function (DUF4218)
PF13961.9	DUF4219	Domain of unknown function (DUF4219)
PF13968.9	DUF4220	Domain of unknown function (DUF4220)
PF13970.9	DUF4221	Domain of unknown function (DUF4221)
PF13973.9	DUF4222	Domain of unknown function (DUF4222)
PF13978.9	DUF4223	Protein of unknown function (DUF4223)
PF13986.9	DUF4224	Domain of unknown function (DUF4224)
PF13988.9	DUF4225	Protein of unknown function (DUF4225)
PF14004.9	DUF4227	Protein of unknown function (DUF4227)
PF14012.9	DUF4229	Protein of unknown function (DUF4229)
PF14014.9	DUF4230	Protein of unknown function (DUF4230)
PF14015.9	DUF4231	Protein of unknown function (DUF4231)
PF14016.9	DUF4232	Protein of unknown function (DUF4232)
PF14017.9	DUF4233	Protein of unknown function (DUF4233)
PF14018.9	DUF4234	Domain of unknown function (DUF4234)
PF14019.9	DUF4235	Protein of unknown function (DUF4235)
PF14020.9	DUF4236	Protein of unknown function (DUF4236)
PF14022.9	DUF4238	Protein of unknown function (DUF4238)
PF14023.9	DUF4239	Protein of unknown function (DUF4239)
PF14024.9	DUF4240	Protein of unknown function (DUF4240)
PF14025.9	DUF4241	Protein of unknown function (DUF4241)
PF14026.9	DUF4242	Protein of unknown function (DUF4242)
PF14029.9	DUF4244	Protein of unknown function (DUF4244)
PF14030.9	DUF4245	Protein of unknown function (DUF4245)
PF14033.9	DUF4246	Protein of unknown function (DUF4246)
PF14042.9	DUF4247	Domain of unknown function (DUF4247)
PF14053.9	DUF4248	Domain of unknown function (DUF4248)
PF14054.9	DUF4249	Domain of unknown function (DUF4249)
PF14056.9	DUF4250	Domain of unknown function (DUF4250)
PF14059.9	DUF4251	Domain of unknown function (DUF4251)
PF14060.9	DUF4252	Domain of unknown function (DUF4252)
PF14062.9	DUF4253	Domain of unknown function (DUF4253)
PF14063.9	DUF4254	Protein of unknown function (DUF4254)
PF14066.9	DUF4256	Protein of unknown function (DUF4256)
PF14074.9	DUF4257	Protein of unknown function (DUF4257)
PF14076.9	DUF4258	Domain of unknown function (DUF4258)
PF14078.9	DUF4259	Domain of unknown function (DUF4259)
PF14079.9	DUF4260	Domain of unknown function (DUF4260)
PF14080.9	DUF4261	Domain of unknown function (DUF4261)
PF14081.9	DUF4262	Domain of unknown function (DUF4262)
PF14082.9	DUF4263	Domain of unknown function (DUF4263)
PF14084.9	DUF4264	Protein of unknown function (DUF4264)
PF14085.9	DUF4265	Domain of unknown function (DUF4265)
PF14086.9	DUF4266	Domain of unknown function (DUF4266)
PF14087.9	DUF4267	Domain of unknown function (DUF4267)
PF14088.9	DUF4268	Domain of unknown function (DUF4268)
PF14091.9	DUF4269	Domain of unknown function (DUF4269)
PF14092.9	DUF4270	Domain of unknown function (DUF4270)
PF14093.9	DUF4271	Domain of unknown function (DUF4271)
PF14094.9	DUF4272	Domain of unknown function (DUF4272)
PF14096.9	DUF4274	Domain of unknown function (DUF4274)
PF14100.9	DUF6807	Family of unknown function (DUF6807)
PF14101.9	DUF4275	Domain of unknown function (DUF4275)
PF14103.9	DUF4276	Domain of unknown function (DUF4276)
PF14104.9	DUF4277	Domain of unknown function (DUF4277)
PF14105.9	DUF4278	Domain of unknown function (DUF4278)
PF14106.9	DUF4279	Domain of unknown function (DUF4279)
PF14107.9	DUF4280	Domain of unknown function (DUF4280)
PF14110.9	DUF4282	Domain of unknown function (DUF4282)
PF14111.9	DUF4283	Domain of unknown function (DUF4283)
PF14112.9	DUF4284	Immunity protein 22
PF14114.9	DUF4286	Domain of unknown function (DUF4286)
PF14117.9	DUF4287	Domain of unknown function (DUF4287)
PF14119.9	DUF4288	Domain of unknown function (DUF4288)
PF14123.9	DUF4290	Domain of unknown function (DUF4290)
PF14124.9	DUF4291	Domain of unknown function (DUF4291)
PF14125.9	DUF4292	Domain of unknown function (DUF4292)
PF14126.9	DUF4293	Domain of unknown function (DUF4293)
PF14127.9	DUF4294	Domain of unknown function (DUF4294)
PF14128.9	DUF4295	Domain of unknown function (DUF4295)
PF14129.9	DUF4296	Domain of unknown function (DUF4296)
PF14131.9	DUF4298	Domain of unknown function (DUF4298)
PF14132.9	DUF4299	Domain of unknown function (DUF4299)
PF14133.9	DUF4300	Domain of unknown function (DUF4300)
PF14134.9	DUF4301	Domain of unknown function (DUF4301)
PF14135.9	DUF4302	Domain of unknown function (DUF4302)
PF14136.9	DUF4303	Domain of unknown function (DUF4303)
PF14137.9	DUF4304	Domain of unknown function (DUF4304)
PF14146.9	DUF4305	Domain of unknown function (DUF4305)
PF14154.9	DUF4306	Domain of unknown function (DUF4306)
PF14155.9	DUF4307	Domain of unknown function (DUF4307)
PF14172.9	DUF4309	Domain of unknown function (DUF4309)
PF14187.9	DUF4310	Domain of unknown function (DUF4310)
PF14188.9	DUF4311	Domain of unknown function (DUF4311)
PF14189.9	DUF4312	Domain of unknown function (DUF4312)
PF14190.9	DUF4313	Domain of unknown function (DUF4313)
PF14192.9	DUF4314	Domain of unknown function (DUF4314)
PF14193.9	DUF4315	Domain of unknown function (DUF4315)
PF14195.9	DUF4316	Domain of unknown function (DUF4316)
PF14199.9	DUF4317	Domain of unknown function (DUF4317)
PF14201.9	DUF4318	Domain of unknown function (DUF4318)
PF14208.9	DUF4320	Domain of unknown function (DUF4320)
PF14209.9	DUF4321	Domain of unknown function (DUF4321)
PF14210.9	DUF4322	Domain of unknown function (DUF4322)
PF14213.9	DUF4325	STAS-like domain of unknown function (DUF4325)
PF14216.9	DUF4326	Domain of unknown function (DUF4326)
PF14217.9	DUF4327	Domain of unknown function (DUF4327)
PF14219.9	DUF4328	Domain of unknown function (DUF4328)
PF14220.9	DUF4329	Domain of unknown function (DUF4329)
PF14221.9	DUF4330	Domain of unknown function (DUF4330)
PF14224.9	DUF4331	Domain of unknown function (DUF4331)
PF14229.9	DUF4332	Domain of unknown function (DUF4332)
PF14230.9	DUF4333	Domain of unknown function (DUF4333)
PF14232.9	DUF4334	Domain of unknown function (DUF4334)
PF14233.9	DUF4335	Domain of unknown function (DUF4335)
PF14234.9	DUF4336	Domain of unknown function (DUF4336)
PF14235.9	DUF4337	Domain of unknown function (DUF4337)
PF14236.9	DUF4338	Domain of unknown function (DUF4338)
PF14238.9	DUF4340	Domain of unknown function (DUF4340)
PF14242.9	DUF4342	Domain of unknown function (DUF4342)
PF14247.9	DUF4344	Putative metallopeptidase
PF14248.9	DUF4345	Domain of unknown function (DUF4345)
PF14251.9	DUF4346	Domain of unknown function (DUF4346)
PF14252.9	DUF4347	Domain of unknown function (DUF4347)
PF14254.9	DUF4348	Domain of unknown function (DUF4348)
PF14257.9	DUF4349	Domain of unknown function (DUF4349)
PF14258.9	DUF4350	Domain of unknown function (DUF4350)
PF14261.9	DUF4351	Domain of unknown function (DUF4351)
PF14263.9	DUF4354	Domain of unknown function (DUF4354)
PF14265.9	DUF4355	Domain of unknown function (DUF4355)
PF14267.9	DUF4357	Domain of unknown function (DUF4357)
PF14270.9	DUF4358	Domain of unknown function (DUF4358)
PF14271.9	DUF4359	Domain of unknown function (DUF4359)
PF14273.9	DUF4360	Domain of unknown function (DUF4360)
PF14274.9	DUF4361	Domain of unknown function (DUF4361)
PF14275.9	DUF4362	Domain of unknown function (DUF4362)
PF14276.9	DUF4363	Domain of unknown function (DUF4363)
PF14277.9	DUF4364	Domain of unknown function (DUF4364)
PF14280.9	DUF4365	Domain of unknown function (DUF4365)
PF14283.9	DUF4366	Domain of unknown function (DUF4366)
PF14285.9	DUF4367	Domain of unknown function (DUF4367)
PF14287.9	DUF4368	Domain of unknown function (DUF4368)
PF14289.9	DUF4369	Domain of unknown function (DUF4369)
PF14291.9	DUF4371	Domain of unknown function (DUF4371)
PF14294.9	DUF4372	Domain of unknown function (DUF4372)
PF14297.9	DUF4373	Domain of unknown function (DUF4373)
PF14298.9	DUF4374	Domain of unknown function (DUF4374)
PF14300.9	DUF4375	Domain of unknown function (DUF4375)
PF14301.9	DUF4376	Domain of unknown function (DUF4376)
PF14302.9	DUF4377	Domain of unknown function (DUF4377)
PF14309.9	DUF4378	Domain of unknown function (DUF4378)
PF14311.9	DUF4379	Probable Zinc-ribbon domain
PF14315.9	DUF4380	Domain of unknown function (DUF4380)
PF14316.9	DUF4381	Domain of unknown function (DUF4381)
PF14321.9	DUF4382	Domain of unknown function (DUF4382)
PF14325.9	DUF4383	Domain of unknown function (DUF4383)
PF14326.9	DUF4384	Domain of unknown function (DUF4384)
PF14328.9	DUF4385	Domain of unknown function (DUF4385)
PF14329.9	DUF4386	Domain of unknown function (DUF4386)
PF14330.9	DUF4387	Domain of unknown function (DUF4387)
PF14332.9	DUF4388	Domain of unknown function (DUF4388)
PF14333.9	DUF4389	Domain of unknown function (DUF4389)
PF14334.9	DUF4390	Domain of unknown function (DUF4390)
PF14335.9	DUF4391	Domain of unknown function (DUF4391)
PF14336.9	DUF4392	Domain of unknown function (DUF4392)
PF14339.9	DUF4394	Domain of unknown function (DUF4394)
PF14340.9	DUF4395	Domain of unknown function (DUF4395)
PF14342.9	DUF4396	Domain of unknown function (DUF4396)
PF14344.9	DUF4397	Domain of unknown function (DUF4397)
PF14346.9	DUF4398	Domain of unknown function (DUF4398)
PF14347.9	DUF4399	Domain of unknown function (DUF4399)
PF14348.9	DUF4400	Domain of unknown function (DUF4400)
PF14351.9	DUF4401	Domain of unknown function (DUF4401)
PF14352.9	DUF4402	Domain of unknown function (DUF4402)
PF14356.9	DUF4403	Domain of unknown function (DUF4403)
PF14357.9	DUF4404	Domain of unknown function (DUF4404)
PF14358.9	DUF4405	Domain of unknown function (DUF4405)
PF14359.9	DUF4406	Domain of unknown function (DUF4406)
PF14362.9	DUF4407	Domain of unknown function (DUF4407)
PF14364.9	DUF4408	Domain of unknown function (DUF4408)
PF14366.9	DUF4410	Domain of unknown function (DUF4410)
PF14367.9	DUF4411	Domain of unknown function (DUF4411)
PF14371.9	DUF4412	Domain of unknown function (DUF4412)
PF14372.9	DUF4413	Domain of unknown function (DUF4413)
PF14385.9	DUF4416	Domain of unknown function (DUF4416)
PF14386.9	DUF4417	Domain of unknown function (DUF4417)
PF14387.9	DUF4418	Domain of unknown function (DUF4418)
PF14388.9	DUF4419	Domain of unknown function (DUF4419)
PF14390.9	DUF4420	Putative  PD-(D/E)XK family member, (DUF4420)
PF14391.9	DUF4421	Domain of unknown function (DUF4421)
PF14393.9	DUF4422	Domain of unknown function (DUF4422)
PF14394.9	DUF4423	Domain of unknown function (DUF4423)
PF14415.9	DUF4424	Domain of unknown function (DUF4424)
PF14467.9	DUF4426	Domain of unknown function (DUF4426)
PF14468.9	DUF4427	Protein of unknown function (DUF4427)
PF14471.9	DUF4428	Domain of unknown function (DUF4428)
PF14472.9	DUF4429	Domain of unknown function (DUF4429)
PF14478.9	DUF4430	Domain of unknown function (DUF4430)
PF14485.9	DUF4431	Domain of unknown function (DUF4431)
PF14486.9	DUF4432	Domain of unknown function (DUF4432)
PF14488.9	DUF4434	Domain of unknown function (DUF4434)
PF14491.9	DUF4435	Protein of unknown function (DUF4435)
PF14494.9	DUF4436	Domain of unknown function (DUF4436)
PF14499.9	DUF4437	Domain of unknown function (DUF4437)
PF14505.9	DUF4438	Domain of unknown function (DUF4438)
PF14530.9	DUF4439	Domain of unknown function (DUF4439)
PF14534.9	DUF4440	Domain of unknown function (DUF4440)
PF14536.9	DUF4441	Domain of unknown function (DUF4441)
PF14539.9	DUF4442	Domain of unknown function (DUF4442)
PF14544.9	DUF4443	Domain of unknown function (DUF4443)
PF14563.9	DUF4444	Domain of unknown function (DUF4444)
PF14584.9	DUF4446	Protein of unknown function (DUF4446)
PF14590.9	DUF4447	Domain of unknown function (DUF4447)
PF14613.9	DUF4449	Protein of unknown function (DUF4449)
PF14614.9	DUF4450	Domain of unknown function (DUF4450)
PF14618.9	DUF4452	Domain of unknown function (DUF4452)
PF14627.9	DUF4453	Domain of unknown function (DUF4453)
PF14628.9	DUF4454	Domain of unknown function (DUF4454)
PF14643.9	DUF4455	Domain of unknown function (DUF4455)
PF14644.9	DUF4456	Domain of unknown function (DUF4456)
PF14652.9	DUF4457	Domain of unknown function (DUF4457)
PF14660.9	DUF4458	Domain of unknown function (DUF4458)
PF14673.9	DUF4459	Domain of unknown function (DUF4459)
PF14687.9	DUF4460	Domain of unknown function (DUF4460)
PF14688.9	DUF4461	Domain of unknown function (DUF4461)
PF14692.9	DUF4462	Domain of unknown function (DUF4462)
PF14713.9	DUF4464	Domain of unknown function (DUF4464)
PF14717.9	DUF4465	Domain of unknown function (DUF4465)
PF14725.9	DUF4466	Domain of unknown function (DUF4466)
PF14729.9	DUF4467	Domain of unknown function with cystatin-like fold (DUF4467)
PF14730.9	DUF4468	Domain of unknown function (DUF4468) with TBP-like fold
PF14734.9	DUF4469	Domain of unknown function (DUF4469) with IG-like fold
PF14737.9	DUF4470	Domain of unknown function (DUF4470)
PF14739.9	DUF4472	Domain of unknown function (DUF4472)
PF14740.9	DUF4471	Domain of unknown function (DUF4471)
PF14747.9	DUF4473	Domain of unknown function (DUF4473)
PF14751.9	DUF4474	Domain of unknown function (DUF4474)
PF14771.9	DUF4476	Domain of unknown function (DUF4476)
PF14780.9	DUF4477	Domain of unknown function (DUF4477)
PF14793.9	DUF4478	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidases
PF14794.9	DUF4479	Domain of unknown function (DUF4479)
PF14800.9	DUF4481	Domain of unknown function (DUF4481)
PF14818.9	DUF4482	Domain of unknown function (DUF4482)
PF14831.9	DUF4484	Domain of unknown function (DUF4484)
PF14846.9	DUF4485	Domain of unknown function (DUF4485)
PF14868.9	DUF4487	Domain of unknown function (DUF4487)
PF14869.9	DUF4488	Domain of unknown function (DUF4488)
PF14879.9	DUF4489	Domain of unknown function (DUF4489)
PF14892.9	DUF4490	Domain of unknown function (DUF4490)
PF14898.9	DUF4491	Domain of unknown function (DUF4491)
PF14899.9	DUF4492	Domain of unknown function (DUF4492)
PF14900.9	DUF4493	Domain of unknown function (DUF4493)
PF14902.9	DUF4494	Domain of unknown function (DUF4494)
PF14906.9	DUF4495	Domain of unknown function (DUF4495)
PF14924.9	DUF4497	Protein of unknown function (DUF4497)
PF14937.9	DUF4500	Domain of unknown function (DUF4500)
PF14946.9	DUF4501	Domain of unknown function (DUF4501)
PF14950.9	DUF4502	Domain of unknown function (DUF4502)
PF14951.9	DUF4503	Domain of unknown function (DUF4503)
PF14953.9	DUF4504	Domain of unknown function (DUF4504)
PF14956.9	DUF4505	Domain of unknown function (DUF4505)
PF14964.9	DUF4507	Domain of unknown function (DUF4507)
PF14969.9	DUF4508	Domain of unknown function (DUF4508)
PF14975.9	DUF4512	Domain of unknown function (DUF4512)
PF14983.9	DUF4513	Domain of unknown function (DUF4513)
PF14986.9	DUF4514	Domain of unknown function (DUF4514)
PF14988.9	DUF4515	Domain of unknown function (DUF4515)
PF14990.9	DUF4516	Domain of unknown function (DUF4516)
PF15006.9	DUF4517	Domain of unknown function (DUF4517)
PF15008.9	DUF4518	Domain of unknown function (DUF4518)
PF15012.9	DUF4519	Domain of unknown function (DUF4519)
PF15016.9	DUF4520	Domain of unknown function (DUF4520)
PF15021.9	DUF4521	Protein of unknown function (DUF4521)
PF15022.9	DUF4522	Protein of unknown function (DUF4522)
PF15023.9	DUF4523	Protein of unknown function (DUF4523)
PF15025.9	DUF4524	Domain of unknown function (DUF4524)
PF15027.9	DUF4525	Domain of unknown function (DUF4525)
PF15030.9	DUF4527	Protein of unknown function (DUF4527)
PF15031.9	DUF4528	Domain of unknown function (DUF4528)
PF15032.9	DUF4529	Protein of unknown function (DUF4529)
PF15039.9	DUF4530	Domain of unknown function (DUF4530)
PF15041.9	DUF4531	Domain of unknown function (DUF4531)
PF15046.9	DUF4532	Protein of unknown function (DUF4532)
PF15047.9	DUF4533	Protein of unknown function (DUF4533)
PF15049.9	DUF4534	Protein of unknown function (DUF4534)
PF15054.9	DUF4535	Domain of unknown function (DUF4535)
PF15055.9	DUF4536	Domain of unknown function (DUF4536)
PF15057.9	DUF4537	Domain of unknown function (DUF4537)
PF15061.9	DUF4538	Domain of unknown function (DUF4538)
PF15074.9	DUF4541	Domain of unknown function (DUF4541)
PF15075.9	DUF4542	Domain of unknown function (DUF4542)
PF15076.9	DUF4543	Domain of unknown function (DUF4543)
PF15078.9	DUF4545	Domain of unknown function (DUF4545)
PF15080.9	DUF4547	Domain of unknown function (DUF4547)
PF15081.9	DUF4548	Domain of unknown function (DUF4548)
PF15082.9	DUF4549	Domain of unknown function (DUF4549)
PF15084.9	DUF4550	Domain of unknown function (DUF4550)
PF15087.9	DUF4551	Protein of unknown function (DUF4551)
PF15089.9	DUF4552	Domain of unknown function (DUF4552)
PF15090.9	DUF4553	Domain of unknown function (DUF4553)
PF15091.9	DUF4554	Domain of unknown function (DUF4554)
PF15093.9	DUF4555	Domain of unknown function (DUF4555)
PF15094.9	DUF4556	Domain of unknown function (DUF4556)
PF15104.9	DUF4558	Domain of unknown function (DUF4558)
PF15112.9	DUF4559	Domain of unknown function (DUF4559)
PF15118.9	DUF4560	Domain of unknown function (DUF4560)
PF15123.9	DUF4562	Domain of unknown function (DUF4562)
PF15130.9	DUF4566	Domain of unknown function (DUF4566)
PF15131.9	DUF4567	Domain of unknown function (DUF4567)
PF15132.9	DUF4568	Domain of unknown function (DUF4568)
PF15134.9	DUF4570	Domain of unknown function (DUF4570)
PF15137.9	DUF4571	Domain of unknown function (DUF4571)
PF15139.9	DUF4572	Domain of unknown function (DUF4572)
PF15140.9	DUF4573	Domain of unknown function (DUF4573)
PF15143.9	DUF4575	Domain of unknown function (DUF4575)
PF15144.9	DUF4576	Domain of unknown function (DUF4576)
PF15145.9	DUF4577	Domain of unknown function (DUF4577)
PF15147.9	DUF4578	Domain of unknown function (DUF4578)
PF15158.9	DUF4579	Domain of unknown function (DUF4579)
PF15167.9	DUF4581	Domain of unknown function (DUF4581)
PF15232.9	DUF4585	Domain of unknown function (DUF4585)
PF15239.9	DUF4586	Domain of unknown function (DUF4586)
PF15248.9	DUF4587	Domain of unknown function (DUF4587)
PF15251.9	DUF4588	Domain of unknown function (DUF4588)
PF15252.9	DUF4589	Domain of unknown function (DUF4589)
PF15257.9	DUF4590	Domain of unknown function (DUF4590)
PF15262.9	DUF4592	Domain of unknown function (DUF4592)
PF15266.9	DUF4594	Domain of unknown function (DUF4594)
PF15283.9	DUF4595	Domain of unknown function (DUF4595) with porin-like fold
PF15363.9	DUF4596	Domain of unknown function (DUF4596)
PF15366.9	DUF4597	Domain of unknown function (DUF4597)
PF15371.9	DUF4599	Domain of unknown function (DUF4599)
PF15372.9	DUF4600	Domain of unknown function (DUF4600)
PF15373.9	DUF4601	Domain of unknown function (DUF4601)
PF15375.9	DUF4602	Domain of unknown function (DUF4602)
PF15376.9	DUF4603	Domain of unknown function (DUF4603)
PF15377.9	DUF4604	Domain of unknown function (DUF4604)
PF15378.9	DUF4605	Domain of unknown function (DUF4605)
PF15379.9	DUF4606	Domain of unknown function (DUF4606)
PF15380.9	DUF4607	Domain of unknown function (DUF4607)
PF15382.9	DUF4609	Domain of unknown function (DUF4609)
PF15387.9	DUF4611	Domain of unknown function (DUF4611)
PF15389.9	DUF4612	Domain of unknown function (DUF4612)
PF15391.9	DUF4614	Domain of unknown function (DUF4614)
PF15393.9	DUF4615	Domain of unknown function (DUF4615)
PF15394.9	DUF4616	Domain of unknown function (DUF4616)
PF15395.9	DUF4617	Domain of unknown function (DUF4617)
PF15397.9	DUF4618	Domain of unknown function (DUF4618)
PF15398.9	DUF4619	Domain of unknown function (DUF4619)
PF15399.9	DUF4620	Domain of unknown function (DUF4620)
PF15414.9	DUF4621	Protein of unknown function (DUF4621)
PF15416.9	DUF4623	Domain of unknown function (DUF4623)
PF15417.9	DUF4624	Domain of unknown function (DUF4624)
PF15418.9	DUF4625	Domain of unknown function (DUF4625)
PF15425.9	DUF4627	Domain of unknown function (DUF4627)
PF15429.9	DUF4628	Domain of unknown function (DUF4628)
PF15442.9	DUF4629	Domain of unknown function (DUF4629)
PF15443.9	DUF4630	Domain of unknown function (DUF4630)
PF15451.9	DUF4632	Domain of unknown function (DUF4632)
PF15464.9	DUF4633	Domain of unknown function (DUF4633)
PF15465.9	DUF4634	Domain of unknown function (DUF4634)
PF15466.9	DUF4635	Domain of unknown function (DUF4635)
PF15468.9	DUF4636	Domain of unknown function (DUF4636)
PF15470.9	DUF4637	Domain of unknown function (DUF4637)
PF15472.9	DUF4638	Domain of unknown function (DUF4638)
PF15479.9	DUF4639	Domain of unknown function (DUF4639)
PF15480.9	DUF4640	Domain of unknown function (DUF4640)
PF15483.9	DUF4641	Domain of unknown function (DUF4641)
PF15484.9	DUF4642	Domain of unknown function (DUF4642)
PF15485.9	DUF4643	Domain of unknown function (DUF4643)
PF15486.9	DUF4644	Domain of unknown function (DUF4644)
PF15488.9	DUF4645	Domain of unknown function (DUF4645)
PF15496.9	DUF4646	Domain of unknown function (DUF4646)
PF15504.9	DUF4647	Domain of unknown function (DUF4647)
PF15507.9	DUF4649	Domain of unknown function (DUF4649)
PF15509.9	DUF4650	Domain of unknown function (DUF4650)
PF15513.9	DUF4651	Domain of unknown function (DUF4651)
PF15525.9	DUF4652	Domain of unknown function (DUF4652)
PF15546.9	DUF4653	Domain of unknown function (DUF4653)
PF15548.9	DUF4655	Domain of unknown function (DUF4655)
PF15551.9	DUF4656	Domain of unknown function (DUF4656)
PF15552.9	DUF4657	Domain of unknown function (DUF4657)
PF15555.9	DUF4658	Domain of unknown function (DUF4658)
PF15558.9	DUF4659	Domain of unknown function (DUF4659)
PF15559.9	DUF4660	Domain of unknown function (DUF4660)
PF15576.9	DUF4661	Domain of unknown function (DUF4661)
PF15578.9	DUF4662	Domain of unknown function (DUF4662)
PF15668.8	DUF4663	Domain of unknown function (DUF4663)
PF15679.8	DUF4665	Domain of unknown function (DUF4665)
PF15697.8	DUF4666	Domain of unknown function (DUF4666)
PF15700.8	DUF4667	Domain of unknown function (DUF4667)
PF15701.8	DUF4668	Domain of unknown function (DUF4668)
PF15709.8	DUF4670	Domain of unknown function (DUF4670)
PF15716.8	DUF4672	Domain of unknown function (DUF4672)
PF15719.8	DUF4674	Domain of unknown function (DUF4674)
PF15720.8	DUF4675	Domain of unknown function (DUF4675)
PF15726.8	DUF4677	Domain of unknown function (DUF4677)
PF15727.8	DUF4678	Domain of unknown function (DUF4678)
PF15728.8	DUF4679	Domain of unknown function (DUF4679)
PF15730.8	DUF4680	Domain of unknown function (DUF4680)
PF15732.8	DUF4681	Domain of unknown function (DUF4681)
PF15733.8	DUF4682	Domain of unknown function (DUF4682)
PF15735.8	DUF4683	Domain of unknown function (DUF4683)
PF15736.8	DUF4684	Domain of unknown function (DUF4684)
PF15737.8	DUF4685	Domain of unknown function (DUF4685)
PF15742.8	DUF4686	Domain of unknown function (DUF4686)
PF15747.8	DUF4687	Domain of unknown function (DUF4687)
PF15752.8	DUF4688	Domain of unknown function (DUF4688)
PF15755.8	DUF4689	Domain of unknown function (DUF4689)
PF15756.8	DUF4690	Small Novel Rich in Cartilage
PF15762.8	DUF4691	Domain of unknown function (DUF4691)
PF15763.8	DUF4692	Regulator of human erythroid cell expansion (RHEX)
PF15764.8	DUF4693	Domain of unknown function (DUF4693)
PF15765.8	DUF4694	Domain of unknown function (DUF4694)
PF15766.8	DUF4695	Domain of unknown function (DUF4695)
PF15769.8	DUF4698	Domain of unknown function (DUF4698)
PF15770.8	DUF4699	Domain of unknown function (DUF4699)
PF15774.8	DUF4702	Domain of unknown function (DUF4702)
PF15775.8	DUF4703	Domain of unknown function (DUF4703)
PF15787.8	DUF4704	Neurobeachin/BDCP, DUF4704 alpha solenoid region
PF15788.8	DUF4705	Domain of unknown function (DUF4705)
PF15797.8	DUF4706	Domain of unknown function (DUF4706)
PF15806.8	DUF4707	Domain of unknown function (DUF4707)
PF15813.8	DUF4708	Domain of unknown function (DUF4708)
PF15821.8	DUF4709	Domain of unknown function (DUF4709)
PF15828.8	DUF4710	Domain of unknown function (DUF4710)
PF15829.8	DUF4711	Domain of unknown function (DUF4711)
PF15830.8	DUF4712	Domain of unknown function (DUF4712)
PF15831.8	DUF4713	Domain of unknown function (DUF4713)
PF15833.8	DUF4714	Domain of unknown function (DUF4714)
PF15835.8	DUF4715	Domain of unknown function (DUF4715)
PF15837.8	DUF4716	Domain of unknown function (DUF4716)
PF15842.8	DUF4718	Domain of unknown function (DUF4718)
PF15843.8	DUF4719	Domain of unknown function (DUF4719)
PF15846.8	DUF4720	Domain of unknown function (DUF4720)
PF15849.8	DUF4722	Domain of unknown function (DUF4722)
PF15851.8	DUF4723	Domain of unknown function (DUF4723)
PF15852.8	DUF4724	Domain of unknown function (DUF4724)
PF15855.8	DUF4726	Domain of unknown function (DUF4726)
PF15856.8	DUF4727	Domain of unknown function (DUF4727)
PF15860.8	DUF4728	Domain of unknown function (DUF4728)
PF15866.8	DUF4729	Domain of unknown function (DUF4729)
PF15873.8	DUF4730	Domain of unknown function (DUF4730)
PF15875.8	DUF4731	Domain of unknown function (DUF4731)
PF15876.8	DUF4732	Domain of unknown function (DUF4732)
PF15878.8	DUF4733	Domain of unknown function (DUF4733)
PF15881.8	DUF4734	Domain of unknown function (DUF4734)
PF15882.8	DUF4735	Domain of unknown function (DUF4735)
PF15883.8	DUF4736	Domain of unknown function (DUF4736)
PF15889.8	DUF4738	Domain of unknown function (DUF4738)
PF15893.8	DUF4739	Domain of unknown function (DUF4739)
PF15897.8	DUF4741	Domain of unknown function (DUF4741)
PF15916.8	DUF4743	Domain of unknown function (DUF4743)
PF15918.8	DUF4744	Domain of unknown function (DUF4744)
PF15923.8	DUF4745	Domain of unknown function (DUF4745)
PF15928.8	DUF4746	Domain of unknown function (DUF4746)
PF15931.8	DUF4747	Domain of unknown function (DUF4747)
PF15932.8	DUF4748	Domain of unknown function (DUF4748)
PF15936.8	DUF4749	Domain of unknown function (DUF4749)
PF15938.8	DUF4750	Domain of unknown function (DUF4750)
PF15942.8	DUF4751	Domain of unknown function (DUF4751)
PF15944.8	DUF4752	Domain of unknown function (DUF4752)
PF15946.8	DUF4754	Domain of unknown function (DUF4754)
PF15947.8	DUF4755	Domain of unknown function (DUF4755)
PF15948.8	DUF4756	Domain of unknown function (DUF4756)
PF15949.8	DUF4757	Domain of unknown function (DUF4757)
PF15950.8	DUF4758	Putative sperm flagellar membrane protein
PF15956.8	DUF4760	Domain of unknown function (DUF4760)
